aX,aY,aZ,gX,gY,gZ
-0.414,-0.246,1.896,2.502,179.810,17.212
-0.446,-0.222,1.861,-4.028,205.139,26.306
-0.498,-0.165,1.877,-9.766,228.699,32.532
-0.545,-0.158,1.885,-12.695,252.563,33.875
-0.523,-0.185,1.836,-15.869,283.142,36.743
-0.481,-0.225,1.739,-20.691,317.383,44.617
-0.430,-0.230,1.564,-28.320,351.807,55.664
-0.362,-0.178,1.336,-37.720,379.211,67.749
-0.313,-0.150,1.093,-45.166,394.714,77.026
-0.181,-0.044,0.857,-54.749,403.564,77.209
-0.027,-0.028,0.664,-67.383,399.597,71.228
0.073,-0.064,0.558,-77.820,387.939,62.805
0.143,-0.104,0.477,-86.609,378.296,55.237
0.144,-0.119,0.336,-90.088,370.422,55.481
0.129,-0.071,0.196,-89.661,365.967,64.941
0.146,-0.023,0.094,-85.205,363.953,75.562
0.185,-0.015,0.005,-78.735,359.253,83.557
0.203,-0.048,-0.021,-78.369,353.882,86.426
0.253,-0.034,-0.109,-87.952,349.121,84.351
0.264,-0.004,-0.232,-98.450,343.384,84.167
0.297,0.033,-0.334,-102.783,328.979,80.505
0.413,0.122,-0.359,-107.666,317.810,74.707
0.400,0.191,-0.432,-105.591,304.260,71.472
0.408,0.244,-0.474,-92.712,287.109,65.918
0.405,0.234,-0.473,-73.303,276.428,62.683
0.431,0.213,-0.454,-54.382,267.517,60.059
0.452,0.192,-0.419,-43.274,258.301,55.298
0.424,0.167,-0.419,-41.870,250.549,50.659
0.401,0.153,-0.466,-45.288,245.300,47.302
0.386,0.150,-0.571,-46.204,242.126,45.349
0.368,0.138,-0.745,-41.077,239.197,44.983
0.360,0.109,-0.877,-31.738,231.506,44.617
0.337,0.057,-0.992,-24.475,218.567,43.274
0.320,0.055,-1.131,-21.179,202.271,41.809
0.300,0.066,-1.243,-17.822,181.213,39.917
0.348,0.135,-1.284,-16.296,160.095,36.377
0.412,0.224,-1.314,-17.578,139.954,33.508
0.498,0.274,-1.281,-17.761,121.826,28.625
0.562,0.318,-1.211,-13.733,105.042,22.339
0.592,0.327,-1.135,-4.395,87.219,16.663
0.561,0.311,-1.045,5.493,70.313,10.620
0.570,0.306,-0.979,12.451,59.998,3.601
0.598,0.313,-0.899,17.517,53.101,-0.916
0.624,0.303,-0.797,21.057,48.767,-1.953
0.663,0.300,-0.716,21.423,45.898,-1.465
0.715,0.294,-0.663,18.921,44.128,1.038
0.751,0.293,-0.628,15.137,42.603,4.822
