aX,aY,aZ,gX,gY,gZ
2.257,-0.305,-0.350,-61.218,-24.780,-12.268
2.414,-0.304,-0.392,-84.412,-43.945,-9.338
2.569,-0.296,-0.423,-97.778,-63.110,-8.789
2.683,-0.201,-0.514,-99.426,-79.773,-10.803
2.715,-0.130,-0.635,-89.661,-93.018,-15.869
2.723,-0.111,-0.750,-74.097,-106.384,-23.804
2.614,-0.112,-0.815,-60.486,-114.380,-31.555
2.295,-0.015,-0.933,-53.162,-112.366,-33.203
1.720,0.234,-1.161,-49.377,-109.070,-32.410
0.986,0.389,-1.413,-47.424,-116.516,-30.151
0.255,0.608,-1.580,-39.063,-133.118,-20.569
-0.873,0.989,-1.423,-17.639,-176.819,-10.193
-2.064,1.149,-0.415,3.601,-230.286,-6.287
-2.757,1.277,0.753,-11.475,-256.165,-11.536
-3.617,1.598,1.955,-77.515,-256.592,-25.146
-4.000,1.182,2.895,-219.177,-209.900,-27.649
-4.000,0.555,3.785,-393.494,-147.034,4.761
-3.311,0.383,4.000,-519.409,-126.038,45.227
-1.551,-0.164,4.000,-501.587,-156.067,25.391
-0.337,-1.142,4.000,-308.838,-168.640,-49.011
-0.122,-1.697,4.000,7.385,-90.515,-120.178
-0.674,-1.412,2.888,299.377,17.822,-145.752
-0.914,-0.725,1.133,447.693,87.891,-127.563
-0.784,-0.060,0.031,416.199,115.723,-75.134
-0.466,0.481,-0.412,257.568,114.380,-15.503
-0.124,0.732,-0.404,88.806,87.524,24.170
0.024,0.784,-0.144,-20.203,52.307,31.982
0.014,0.628,0.213,-75.378,18.921,23.865
0.112,0.305,0.637,-108.582,-2.808,12.878
0.164,0.227,0.972,-123.901,-14.771,17.090
0.371,0.239,1.243,-102.722,-18.250,18.188
0.437,0.206,1.387,-52.612,-12.268,5.249
0.318,0.069,1.261,-5.554,4.822,-9.216
0.158,-0.008,1.055,16.113,22.766,-13.367
0.112,0.017,0.900,13.062,33.569,-6.836
0.109,0.123,0.827,-3.235,39.124,2.625
0.093,0.212,0.718,-18.005,38.086,8.240
0.083,0.172,0.623,-24.353,31.616,8.789
0.112,0.120,0.649,-25.330,20.813,7.629
0.225,0.108,0.749,-21.118,10.620,6.226
0.313,0.072,0.829,-14.893,7.507,5.981
0.374,0.102,0.905,-6.592,6.104,2.625
0.391,0.100,0.909,3.296,7.874,-0.977
0.371,0.045,0.904,7.507,11.658,-2.502
0.367,-0.029,0.856,5.005,16.052,-0.061
0.364,-0.042,0.783,0.244,19.653,5.554
0.365,-0.038,0.785,-0.671,18.066,8.911
0.417,0.024,0.829,-0.793,13.550,10.559
0.442,0.066,0.887,-1.587,10.620,10.254
0.451,0.064,0.923,-3.174,8.667,7.874
0.442,0.054,0.905,-2.991,7.568,5.615
0.450,0.034,0.909,1.160,6.287,3.174
0.415,0.023,0.889,2.625,4.761,1.099
0.387,0.014,0.853,2.441,3.784,0.427
0.365,-0.001,0.844,2.502,2.502,0.610
0.354,0.000,0.864,0.671,1.465,2.258
0.354,0.004,0.909,-2.197,1.404,3.540
0.337,-0.013,0.930,-6.470,4.089,6.226
0.323,0.000,0.923,-10.193,7.019,9.399
0.292,-0.002,0.915,-8.118,8.606,10.376
0.277,0.023,0.908,-1.770,8.118,9.827
0.295,0.082,0.881,4.944,5.920,7.446
0.290,0.114,0.864,10.315,4.578,4.211
0.287,0.139,0.839,10.742,3.418,2.258
0.301,0.156,0.844,8.179,1.160,0.854
0.285,0.153,0.845,5.737,-0.427,-0.488
0.287,0.116,0.865,3.540,-2.380,-1.404
0.306,0.092,0.879,2.319,-4.028,-1.160
0.311,0.105,0.881,2.380,-3.662,-0.732
0.323,0.119,0.877,2.930,-3.357,-1.221
0.320,0.129,0.878,1.343,-3.235,-1.282
0.340,0.117,0.885,-1.526,-2.686,-1.160
0.356,0.118,0.884,-3.906,-1.892,-0.488
0.353,0.091,0.883,-4.028,-0.244,-0.916
0.370,0.072,0.885,-1.038,-0.427,-2.014
0.389,0.063,0.909,3.540,-1.953,-3.601
0.406,0.052,0.946,6.165,-3.357,-5.798
0.399,0.044,0.957,5.371,-2.014,-5.493
0.396,0.049,0.940,2.319,0.183,-3.784
0.387,0.035,0.927,-0.610,0.854,-3.418
0.396,0.015,0.924,-2.563,0.061,-3.662
0.402,-0.003,0.925,-4.028,-0.610,-3.662
0.398,-0.010,0.926,-4.822,-0.305,-3.479
0.389,-0.008,0.920,-3.418,0.244,-3.418
0.364,-0.019,0.921,-1.343,0.488,-3.845
0.347,-0.048,0.918,-0.366,-0.061,-4.028
0.334,-0.067,0.905,-0.671,-0.061,-3.174
0.325,-0.084,0.901,-0.977,-0.061,-2.380
0.327,-0.082,0.916,-1.282,-0.977,-1.282
0.335,-0.057,0.923,-1.526,-1.709,0.366
0.340,-0.029,0.928,0.122,-1.770,0.977
0.337,-0.021,0.916,1.770,-1.343,0.671
0.321,-0.009,0.894,2.625,-1.160,0.488
0.315,-0.003,0.881,3.906,-1.404,0.183
0.321,-0.003,0.890,4.944,-1.892,0.305
0.341,0.017,0.900,4.517,-0.549,1.587
0.331,0.046,0.890,1.892,2.869,3.540
0.331,0.062,0.872,-1.343,5.371,4.700
0.327,0.064,0.859,-3.296,5.859,5.066
0.319,0.060,0.857,-3.479,5.371,4.700
0.333,0.052,0.863,-2.258,3.601,3.967
0.337,0.059,0.867,0.549,1.709,2.625
0.347,0.060,0.868,3.113,0.916,1.709
0.348,0.066,0.870,2.319,0.732,2.136
0.345,0.065,0.866,-2.747,1.221,4.333
0.349,0.060,0.865,-9.827,2.014,7.141
0.350,0.045,0.878,-15.320,1.465,8.789
0.369,0.032,0.898,-15.381,-0.183,8.057
0.389,0.034,0.930,-12.268,-1.770,6.287
0.393,0.044,0.937,-8.118,-1.221,4.761
0.388,0.034,0.942,-4.761,-0.122,3.174
0.388,0.017,0.936,-3.784,0.732,2.502
0.389,0.000,0.940,-4.395,1.587,3.052
0.391,-0.006,0.947,-4.456,2.686,3.479
0.390,-0.003,0.956,-2.869,3.235,3.662
0.395,0.010,0.966,-0.122,3.601,3.113
0.380,0.016,0.961,3.357,4.089,1.892
0.370,0.024,0.942,6.287,4.028,0.488
0.360,0.031,0.920,8.179,4.028,-0.305

2.068,-0.385,-0.650,-100.769,-133.423,-20.081
2.179,-0.394,-0.667,-87.158,-143.738,-22.644
2.222,-0.369,-0.774,-64.880,-151.123,-33.020
2.176,-0.227,-0.975,-38.757,-155.762,-41.992
2.119,-0.083,-1.120,-10.132,-157.654,-47.974
1.885,0.223,-1.400,10.559,-153.687,-49.866
1.276,0.496,-1.576,19.958,-156.677,-45.715
0.492,0.873,-1.604,5.554,-179.626,-38.391
-0.435,1.076,-1.030,-32.959,-227.051,-36.255
-1.285,0.711,-0.119,-82.031,-270.447,-27.893
-2.047,0.467,1.115,-136.719,-295.715,-9.033
-2.408,0.521,2.055,-179.138,-285.217,-4.639
-2.896,0.469,2.432,-202.881,-244.385,-20.813
-3.202,0.466,2.586,-240.662,-202.637,-28.137
-3.165,0.698,2.905,-300.781,-189.819,-24.109
-2.405,0.675,3.663,-370.850,-210.815,-17.151
-1.241,0.597,4.000,-424.377,-224.548,-13.672
-0.229,0.312,4.000,-409.302,-192.200,-23.376
0.430,-0.112,4.000,-306.213,-124.756,-51.575
0.403,-0.576,3.179,-112.671,-47.729,-96.252
-0.216,-0.638,1.814,118.286,16.052,-129.822
-0.603,-0.242,0.513,283.752,47.974,-133.484
-0.498,0.393,-0.016,331.970,35.400,-116.455
-0.376,0.462,-0.023,264.648,6.042,-95.520
-0.257,0.049,0.180,112.793,-4.578,-56.458
-0.188,-0.109,0.395,-62.805,-2.258,4.456
-0.043,-0.194,0.705,-167.297,-2.441,48.645
0.125,-0.182,0.982,-186.584,-2.258,64.087
0.217,0.118,0.905,-152.771,4.822,63.293
0.168,0.221,0.656,-75.745,11.108,40.405
0.113,0.287,0.540,-2.563,5.188,12.878
0.143,0.225,0.527,32.043,-4.700,-1.526
0.187,0.125,0.611,36.011,-15.930,-5.676
0.245,0.080,0.754,25.391,-20.996,-3.784
0.275,0.132,0.838,2.991,-16.418,6.531
0.321,0.205,0.915,-23.865,-6.470,17.090
0.304,0.189,0.977,-35.828,1.099,20.447
0.313,0.139,0.912,-30.518,4.822,15.747
0.263,0.109,0.831,-12.573,6.775,8.118
0.306,0.093,0.773,8.911,2.869,0.610
0.410,0.119,0.820,25.452,-5.493,-3.723
0.479,0.163,0.913,31.738,-10.986,-5.188
0.521,0.156,1.014,26.184,-10.681,-4.211
0.539,0.134,1.036,13.611,-6.958,-1.526
0.511,0.104,1.002,2.563,-1.282,1.038
0.489,0.065,0.920,-4.333,2.930,2.869
0.462,0.052,0.877,-5.554,4.211,3.906
0.463,0.089,0.939,-3.418,2.075,4.761
0.500,0.152,1.010,-0.427,-2.136,4.333
0.523,0.161,1.077,4.700,-4.272,1.831
0.496,0.144,1.067,6.592,-1.709,1.038
0.436,0.079,1.001,1.465,3.174,2.808
0.386,-0.022,0.955,-5.188,6.470,6.104
0.342,-0.076,0.943,-8.789,6.653,9.949
0.340,-0.071,0.995,-6.348,4.150,12.268
0.369,0.010,1.000,-1.038,2.136,13.000
0.361,0.105,0.962,5.859,3.296,11.536
0.312,0.148,0.897,9.033,5.798,9.033
0.279,0.144,0.846,6.470,5.310,8.057
0.275,0.129,0.849,2.563,3.601,7.751
0.283,0.101,0.872,0.854,2.197,7.507
0.299,0.101,0.885,1.465,1.099,7.568
0.306,0.134,0.874,4.395,0.793,7.202
0.309,0.182,0.869,7.996,-0.305,6.042
0.326,0.216,0.877,8.118,-0.549,5.127
0.313,0.219,0.862,4.211,1.831,5.493
0.297,0.203,0.835,-0.366,3.906,6.470
0.298,0.181,0.823,-1.465,3.906,6.531
0.289,0.161,0.841,2.136,1.892,5.066
0.313,0.151,0.866,6.958,-0.732,3.479
0.333,0.173,0.882,10.681,-1.709,2.380
0.338,0.169,0.890,10.864,-1.282,1.709
0.348,0.151,0.882,8.423,0.916,2.075
0.341,0.149,0.876,4.028,3.723,4.333
0.361,0.146,0.895,0.671,3.784,5.859
0.394,0.152,0.913,-0.305,2.747,5.859
0.404,0.171,0.934,2.441,2.563,4.089
0.416,0.153,0.951,5.188,0.732,0.854
0.424,0.126,0.956,6.226,-0.854,-1.221
0.422,0.096,0.955,5.066,-0.916,-1.709
0.418,0.066,0.968,1.953,-0.610,-1.221
0.425,0.050,0.974,-1.343,-0.244,0.122
0.416,0.046,0.983,-3.113,0.000,1.221
0.423,0.051,0.990,-2.808,0.366,1.709
0.413,0.067,0.978,-1.892,1.465,2.197
0.394,0.076,0.961,-0.916,2.563,2.075
0.375,0.061,0.937,0.122,3.967,1.892
0.360,0.055,0.918,0.427,5.005,2.563
0.349,0.050,0.902,-0.244,5.310,3.479
